qualtrics_id	list_languages	english_best	attention_check1	SES	political_scale	political_interest	attention_check2	schooling_level	gender	lived_cities	sexual_orientation	age	race_ethnicity	data_collection_group	political_scale_str	schooling_level_str	sex_or	language.clean	gender.clean	race.nih	ethnicity.nih
R_2YM5kgNYaV6aiT3	Cantonese;Spanish;French	Yes	TRUE	422	1	7	TRUE	3	Female	Los Angeles, California, United States;West Covina, California, United States;Chino Hills, California, United States	Lesbian	20	Han Chinese;Asian;Caucasian	round1	Very Liberal	Some college	LGBTQIA+	Cantonese	female	Multiple Races	Not Hispanic
R_3KGFhtzhE4OlhIl		Yes	TRUE	844	3	1	TRUE	3	Male	Los Angeles, California, United States;Naha, Okinawa Prefecture, Japan;San Fernando, California, United States;Baghdad, Iraq;Kuwait City, Kuwait	Straight	49	Caucasian	round1	Slightly Liberal	Some college	Straight	English	male	White	Not Hispanic
R_12gzPjj9bAK9XJd	Mandarin Chinese;Spanish	Yes	TRUE	511	2	5	TRUE	3	Female	Portland, Oregon;Los Angeles, California	Heterosexual	20	Chinese American	round1	Moderately Liberal	Some college	Straight	Mandarin	female	Asian	Not Hispanic
R_3MLFiJNf0IsvVrG	Korean;Spanish	Yes	TRUE	551	4	4	TRUE	3	Female	Los Angeles, California, United States;Seoul, South Korea	Heterosexual	21	Asian;Korean	round1	Neutral	Some college	Straight	Korean	female	Asian	Not Hispanic
R_20Z3XwKWhtzscZn		Yes	TRUE	285	3	2	TRUE	3	Male	San Diego, California, United States	Straight	18	White	round1	Slightly Liberal	Some college	Straight	English	male	White	Not Hispanic
R_1E6H3sHaR2dvgQ3	Indonesian;Korean;Mandarin Chinese;Malay	No	TRUE	409	3	6	TRUE	3	Female	Jakarta, Indonesia;Diamond Bar, California, United States;Malibu, California, United States;los ange;Los Angeles, California, United States	Straight	19	Asian;Chinese	round1	Slightly Liberal	Some college	Straight	Indonesian	female	Asian	Not Hispanic
R_DGHcV41uJPFzwDn	Spanish, French	No	TRUE	416	3	3	TRUE	3	Male	St Catharines, Ontario;Mexico City, Mexico;Cuernavaca, Cuernavaca, Morelos, Mexico;Los Angeles, California, United States	Straight	21	White-Hispanic;Latino	round1	Slightly Liberal	Some college	Straight	Spanish	male	White	Hispanic
R_1LcwSx99uLZgvsn	Cantonese;French;Spanish	Yes	TRUE	299	1	6	TRUE	3	Female	San Francisco, California, United States;Los Angeles, California, United States	Queer;Demisexual;Pansexual;Bisexual	21	Asian Pacific American	round1	Very Liberal	Some college	LGBTQIA+	Cantonese	female	Asian	Not Hispanic
R_1pnUtZqZP26tfDx	English;Mandarin Chinese	Yes	TRUE	684	3	6	TRUE	3	Female	China;New York;Los Angeles	Straight	23	Asian	round1	Slightly Liberal	Some college	Straight	Mandarin	female	Asian	Not Hispanic
R_D8ZdLNoNa5bLQch	Spanish	Yes	TRUE	564	2	5	TRUE	3	Female	Buenos Aires, Argentina;Whittier, California, United States;Hacienda Heights, California, United States	Straight	19	White;Latina	round1	Moderately Liberal	Some college	Straight	Spanish	female	White	Hispanic
