cluster.id.items,qualtrics_id
5,R_0B3sd6PDs4u4JNf
6,R_0IJZKTzkc4l0c1z
9,R_0feK56Tra0MXWCt
9,R_10GYpyC9cgdCuFA
9,R_10Tb46qZTVHmwpl
9,R_116O2rIm4DqX1I2
6,R_11cQkXrWwfmXWLr
1,R_11hduNyaVbu5hvn
1,R_125RmZPKHO45WTm
1,R_125s3mq8SeTE7uJ
10,R_12EjT7RxOQCHSTh
9,R_12gzPjj9bAK9XJd
6,R_1BX8tnq5Cse94xd
10,R_1Ce9JtI6EfQnEVJ
6,R_1Cp6vr7EkdDRreG
9,R_1CrQvou1DAGNE1h
5,R_1DFGaL0j7cI1tKT
1,R_1DGbTdcEP37ztG4
9,R_1DIHC6dyBkpuJBc
5,R_1E4BWZrQgYobVvV
9,R_1E6H3sHaR2dvgQ3
2,R_1EiGkDTMiI5BJ8J
9,R_1FJp4SRV8ni6s81
6,R_1FdUkppqI4tBNLj
1,R_1FnUKd4NEItOkt0
9,R_1GHLe6dlLyeSwU3
9,R_1GIxWmLE7eIwisV
1,R_1GN3DBXHhLQgDfa
5,R_1HcmEHH8Wbm4YLS
6,R_1HnlapH83U0K7M1
9,R_1IgAFJHGgJm4eMd
1,R_1JFUgNdDjXzAIlS
9,R_1JVkMpdmDHoYHbY
5,R_1K6GPsRugok2SaK
5,R_1LFsKHfiSyONu3s
9,R_1LHyL9GDafqPSFn
1,R_1LIp6fZ6WisCDNi
1,R_1LSGsIiksBoXywR
10,R_1LTCXNMHzqCiCac
6,R_1LTl7krnzY2ilLw
4,R_1LZtMjog4i7Lijg
11,R_1LcwSx99uLZgvsn
10,R_1Lv7smkibKbhKBr
1,R_1M3CTDwcYbxGFKf
1,R_1Ny2bPGg49RRVI2
9,R_1NzGVmlfHUoHzXd
13,R_1ONOSOoH9ZDR5iB
1,R_1OrbFLEQDDlt2TW
5,R_1P2l2r5MKdcmviV
12,R_1PYTyuEZV5gN2xW
9,R_1Q4bHcdNzviptbH
9,R_1Q5aHdXnt1iI0Fu
1,R_1QEhnkTxo1t2QMP
1,R_1QJU1EFeeHwLmjB
13,R_1QJWoLT0Ukq9vui
9,R_1QLy7eVBqzRzNIZ
0,R_1Qfw2lCE3B6LTfA
5,R_1QowIoH2xhz72Co
5,R_1Zb7BcHnU5O3c5j
13,R_1ZwjmrGYbO1Xc1X
5,R_1cUstVhmQBwmhvn
6,R_1d6NgyfwsVOdZZz
1,R_1dctVYl2puCr3Mj
6,R_1ddfBosUz2o3WIC
13,R_1eFSq08BlkCnUpP
1,R_1eK3WqPfarkZYLq
9,R_1eLaHGwtA2d1yYr
9,R_1eRWOxEcQhHTste
13,R_1exatLyQj5Hynau
9,R_1ezYlDdgrpg8x0d
5,R_1f13lvLiFOnuAgl
9,R_1f18PJOY1vRnJXM
9,R_1f3fAqVFq1KEcKJ
1,R_1f3jQQqQgIlYAJj
1,R_1gUWQkUujfWGLLT
5,R_1ghZRXm56atQkXo
9,R_1hLO7n4u1BqlZ3i
6,R_1hXfaIaxU1dif5F
6,R_1i4lEWREe8n47KD
5,R_1iaKqViB4WTZwlD
9,R_1ikaivHGKQwAw3B
2,R_1jGJbQ8LDTloHpK
1,R_1jPNkb3tlHH7iSf
1,R_1jk5O8PQyyRE8Ti
1,R_1jw8oSxAVwx0ygQ
10,R_1kHQbngQXAHf5jG
13,R_1kIGBOJomSakZxC
9,R_1kIGeKtX1c3Czwy
1,R_1kIvZ7spm5KdrEu
5,R_1kMKl8lcCIwmfT2
9,R_1kTuGydzvr20mVW
9,R_1ln1CHry0pqi6lx
5,R_1luhavGaUl0WRNG
13,R_1mO5pMGnUKxxqBB
1,R_1mUBfO2neQuRdyE
13,R_1mrRvYck7qJPKfN
13,R_1nUzHBD596ONbfv
1,R_1o24Vj10WtiiI02
13,R_1ovAwMDUdkRGyqe
9,R_1pQjc4RwVRiCaA9
13,R_1pXudiUbWxAhomJ
1,R_1plkE6HpkiWhfNM
9,R_1pnUtZqZP26tfDx
9,R_1psxKBX4lBO1cvr
1,R_1pxkkmekfoKyI9I
6,R_1qXrBtIs4KI4flG
9,R_1qfyC67q9Dm6mdw
6,R_1r7kHny8sqGcQq6
6,R_1r8EdJHYYojDjMh
1,R_1rjFT075WYs6ATf
6,R_1rqMZ60pcSEgbML
1,R_20MwIli66HYbUUy
1,R_20Z3XwKWhtzscZn
6,R_21GMwVqzbvgnfOX
9,R_21Gs1gR7X1r5RtV
1,R_21bqH1zQIdXfFer
1,R_22UZTFkUGPWKbYC
9,R_22xGNVezrfp6gPY
6,R_240BwySE8YGO6gi
1,R_247ASB4j63QlRNE
9,R_2490lVJXDMdTf5L
9,R_24bFZHxl47kkTTf
9,R_24uZevWxnrYO9XI
1,R_25MVSmG8enQY8wp
1,R_25Wrj1qjDhyak4Z
9,R_25ZKwaeRrsqL8yo
1,R_25zrTCaduKThL54
13,R_262QpQOd7gom9lm
6,R_268seMjftocj0ps
9,R_26eydOz7HWjvSR6
9,R_27UbKCa2OxwFm0S
1,R_27dn3R7EFX8bwPa
5,R_27rR9BJy01i76XO
9,R_27s4ad2gclGzfIF
6,R_27wIzB9hU7IVs9l
7,R_28RHQtGK0hq2dvx
6,R_290OvapLh9RXw0v
1,R_29b8pfMGQBkYy6E
10,R_29hS8k1jQP4PFsZ
9,R_29puVdQCF4O1vEq
6,R_29tr0L9vcoinDwJ
5,R_2ALRiRcJ5HPwMVt
6,R_2BkE5jebQcOMaeA
5,R_2BnfGrLj9A3UVtF
9,R_2Bxsg4zd26JHXql
13,R_2CQIiZ3eiD9r4cV
9,R_2CUM34WpI4RxFDz
9,R_2Ck0Hv6ec9x0c9P
9,R_2CpIEbsR8ZSXw5J
6,R_2E7fXNeQ2qtYFqz
5,R_2EBt7YqYXsY0kXp
9,R_2Eaa8QgmL5YUswx
1,R_2Ev0qUaKMxfNHa4
1,R_2Ezti8fD7hCoEVC
9,R_2OUy6tJrqyjtsFv
1,R_2P7lTu1gSnWTkRG
1,R_2PtbF7oEQ3BMaF3
1,R_2QtUo9PEaZaAzY5
9,R_2R1FSSriFTtVBBf
1,R_2RaDVRvD4GnX4lV
9,R_2S02env9Jv4fMyM
9,R_2S3sQla6nbOcRYy
9,R_2Sk1ezQVQ8FdRz7
7,R_2TN4js9gbpGWNjH
6,R_2TN5Bh6xviSLXSG
9,R_2TUjTIuQf4isKia
9,R_2Toggmc212aeg2d
1,R_2TuuyUCKylikj02
5,R_2V4qA9b0quR1Z8K
6,R_2VI8lPp4TcfGDyE
9,R_2VLbiekyzGprx1b
9,R_2VQmEDuSGxHMXBM
9,R_2XjNzHKmkHV47AW
5,R_2XnGltSUYLG6zNo
1,R_2XnQ4wF2i3SATPF
7,R_2Xor5pNaJOPR6ey
6,R_2YM5kgNYaV6aiT3
1,R_2YglHEuzjgVHl8Z
5,R_2Ynyc8OcodJbHM2
9,R_2ZEQFx2lcRK0Q7P
9,R_2ZKZt45D4RyCvF5
